,channelName,date,dislikes,title,likes,Subscribers,url,Views,Keywords,id
53,Dr. Tu Academy,,0,beginner microsoft azure,1,5,https://www.youtube.com/watch?v=n8BB_zqr_z8,2,beginner microsoft azure,54
54,Makhan AutomationHUB,2021-06-04,0,tutorial beginner azure,0,28,https://www.youtube.com/watch?v=WSMsjOXNbnA,1,tutorial beginner azure,55
55,Knowledge Gainer,2021-06-04,0,machine learning feature,0,0,https://www.youtube.com/watch?v=rMNE6ds9Kkc,21,machine learning feature,56
56,Makhan AutomationHUB,2021-06-04,0,learning feature selection,0,28,https://www.youtube.com/watch?v=wtgnWiffSaw,0,learning feature selection,57
57,IT Peshawar,2021-06-04,0,machine learning python,0,0,https://www.youtube.com/watch?v=Wxitlq_IZRI,0,machine learning python,58
58,Programmers World,2021-06-04,0,machine learning tutorial,4,159,https://www.youtube.com/watch?v=rCY3lX4Z8Ck,10,machine learning tutorial,59
59,MQ Tech Guru,2021-06-03,0,part feature selection,0,0,https://www.youtube.com/watch?v=jTSZzamVLww,3,part feature selection,60
60,freeCodeCamp.org,2018-08-24,1900,tutorial absolute beginner,146000,3630000,https://www.youtube.com/watch?v=vLnPwxZdW4Y,6109885,tutorial absolute beginner,61
61,CodeBeauty,2021-01-11,300,tutorial beginner full,25000,66000,https://www.youtube.com/watch?v=GQp1zzTwrIg,540346,tutorial beginner full,62
62,Caleb Curry,2019-01-11,161,full course java,7200,377000,https://www.youtube.com/watch?v=OTroAxvRNbw,342046,full course java,63
63,Traversy Media,2020-08-12,228,course java tutorial,8200,1540000,https://www.youtube.com/watch?v=1v_4dL8l8pQ,235533,course java tutorial,64
64,CodeBeauty,2020-03-28,67,java programming tutorial,3600,66000,https://www.youtube.com/watch?v=iBG0fN8lY8Y,135187,java programming tutorial,65
65,Jacob Sorber,2021-02-02,50,best python library,761,49600,https://www.youtube.com/watch?v=KGFOLJiIo1g,17317,best python library,66
66,Tech With Tim,2021-03-06,20,programming language best,2300,660000,https://www.youtube.com/watch?v=lPd13fsU-CQ,47768,programming language best,67
67,edureka!,2019-12-05,138,language best programming,4200,2670000,https://www.youtube.com/watch?v=BClS40yzssA,240320,language best programming,68
68,Derek Banas,2019-10-29,92,popular programming language,4900,1120000,https://www.youtube.com/watch?v=6y0bp-mnYU0,189984,popular programming language,69
69,Stefan Mischook,2021-03-03,309,tutorial beginner intellipaat,5400,188000,https://www.youtube.com/watch?v=hF0l2M-oD04,143042,tutorial beginner intellipaat,70
